Swiss-Prot	Affymetrix
AAH14383	32466_at
P28751	32466_at
Q16465	32466_at
Q8NC49	32467_at
Q96JU9	32467_at
Q96SM8	32467_at
Q96SW4	32467_at
Q96SY4	32467_at
Q96T04	32467_at
Q9H2E6	32467_at
Q9HBL2	32467_at
P40198	32468_f_at
P40198	32469_at
AAH37958	32470_at
P27352	32470_at
O43200	32471_at
P16473	32471_at
Q16503	32471_at
Q8TB90	32471_at
Q96GT6	32471_at
P01178	32472_at
P17658	32473_at
P23759	32474_at
O75018	32475_at
O75019	32475_at
---	32476_at
O14815	32477_at
Q9NS74	32477_at
---	32478_f_at
Q9Y6Q6	32479_at
P09017	32480_at
Q8IUA0	32481_at
P54707	32482_at
Q8N5U2	32482_at
Q14968	32483_at
Q8IZ08	32483_at
O00590	32484_at
P02144	32485_at
Q8WVH6	32485_at
P06732	32486_at
AAH30573	32487_s_at
AAH34493	32487_s_at
AAN09720	32487_s_at
O00629	32487_s_at
P05387	32487_s_at
P08670	32487_s_at
Q8N850	32487_s_at
Q96IJ5	32487_s_at
Q96KW7	32487_s_at
Q96ML2	32487_s_at
AAB59383	32488_at
P02461	32488_at
P78429	32488_at
Q16403	32488_at
Q8N6U4	32488_at
Q13224	32489_at
Q03715	32490_at
P35462	32491_at
P35462	32492_g_at
Q10587	32493_at
Q8IU94	32493_at
Q8N670	32493_at
P28221	32494_at
P35523	32495_at
P15382	32496_at
P48067	32497_s_at
AAH41447	32498_at
Q14416	32498_at
AAM21076	32499_at
Q99819	32499_at
---	324_f_at
---	32500_at
O60780	32501_at
Q8TC48	32501_at
Q8N781	32502_at
Q8NCB7	32502_at
Q8NDN3	32502_at
Q8NEM9	32502_at
Q8TB77	32502_at
Q8WTR4	32502_at
Q9HBR3	32502_at
Q96D79	32503_at
Q96L92	32503_at
Q9H3K8	32503_at
Q96D79	32504_at
Q96L92	32504_at
Q9H3K8	32504_at
AAH19321	32505_at
AAK00314	32505_at
Q8IVW7	32505_at
Q9NSR8	32505_at
Q9UK41	32505_at
Q8NC59	32506_at
Q96K82	32506_at
Q9UPP4	32506_at
Q8NC59	32507_at
Q96K82	32507_at
Q9UPP4	32507_at
Q9H2N2	32508_at
Q9HA05	32508_at
Q9NSM8	32508_at
Q9NXL3	32508_at
Q9UF29	32508_at
Q9UPQ6	32508_at
Q9Y520	32508_at
---	32509_at
O43488	32510_at
---	32511_at
Q9BUP9	32512_at
Q9UK51	32512_at
Q9BUP9	32513_at
Q9UK51	32513_at
AAH42168	32514_s_at
Q9UBR2	32514_s_at
AAH42168	32515_s_at
Q9UBR2	32515_s_at
---	32516_at
Q9Y6W3	32517_at
O75312	32518_at
P36507	32519_at
AAA52334	32520_at
P10827	32520_at
P20393	32520_at
O00546	32521_at
O14779	32521_at
Q8N474	32521_at
P09497	32522_f_at
P09497	32523_at
Q8WWL8	32524_s_at
Q96FL1	32524_s_at
Q96T07	32524_s_at
Q9BX67	32524_s_at
Q8WWL8	32525_r_at
Q96FL1	32525_r_at
Q96T07	32525_r_at
Q9BX67	32525_r_at
Q8WWL8	32526_at
Q96FL1	32526_at
Q96T07	32526_at
Q9BX67	32526_at
Q15847	32527_at
Q16740	32528_at
Q07065	32529_at
Q8TB01	32529_at
Q96BL9	32529_at
P27348	32530_at
Q9UP48	32530_at
P17302	32531_at
---	32532_at
O95183	32533_s_at
O95183	32534_f_at
P35555	32535_at
Q9NP01	32535_at
AAH46501	32536_at
Q15125	32536_at
---	32537_at
P02787	32538_at
Q99627	32539_at
P48454	32540_at
Q9BSS6	32540_at
Q9H4M5	32540_at
P48454	32541_at
Q9BSS6	32541_at
Q9H4M5	32541_at
O95212	32542_at
Q13642	32542_at
Q9NZ40	32542_at
Q9UKZ8	32542_at
P27797	32543_at
AAH08691	32544_s_at
Q15404	32544_s_at
AAH08691	32545_r_at
Q15404	32545_r_at
P07954	32546_at
P20645	32547_at
Q96AH2	32547_at
Q15185	32548_at
Q13219	32549_at
P49715	32550_r_at
AAH14410	32551_at
Q12805	32551_at
P02753	32552_at
P56270	32553_at
Q8IUI2	32553_at
Q8NFN7	32553_at
Q8WZ46	32553_at
O60907	32554_s_at
O60907	32555_at
P26368	32556_at
Q96HC5	32556_at
P26368	32557_at
Q96HC5	32557_at
AAH30556	32558_at
Q9UFA8	32558_at
Q9Y6X2	32558_at
AAH23665	32559_s_at
Q9Y4Z0	32559_s_at
AAH23665	32560_s_at
Q9Y4Z0	32560_s_at
Q14159	32561_at
Q96BI5	32561_at
P17813	32562_at
Q96CG0	32562_at
AAH11835	32563_at
P54709	32563_at
AAH01734	32564_at
P38391	32564_at
Q92926	32565_at
Q9BUH1	32565_at
Q8IZ52	32566_at
Q9H0F8	32566_at
Q9H618	32566_at
P35790	32567_at
Q8ND52	32567_at
Q8NE29	32567_at
Q14201	32568_at
P43034	32569_at
AAH18986	32570_at
O00749	32570_at
P15428	32570_at
Q12998	32570_at
P31153	32571_at
AAH46205	32572_at
Q93008	32572_at
Q8IYV0	32573_at
P17405	32574_at
Q8IUN0	32574_at
Q99733	32575_at
O00303	32576_at
Q8N978	32576_at
Q14458	32577_s_at
Q8WXG2	32577_s_at
Q96HA2	32577_s_at
Q9P2W1	32577_s_at
Q96FL2	32578_at
Q9UH92	32578_at
P51532	32579_at
O14924	32580_at
Q8WX95	32580_at
Q8WX96	32580_at
Q8WX97	32580_at
O75546	32581_at
P08886	32581_at
BAA36971	32582_at
BAA74889	32582_at
O14729	32582_at
O14794	32582_at
P35749	32582_at
Q16085	32582_at
Q16086	32582_at
P05412	32583_at
P48556	32584_at
O43491	32585_at
O60642	32585_at
Q8N4C4	32585_at
Q9H1C6	32585_at
Q9UG62	32585_at
Q92615	32586_at
Q9BTS9	32586_at
P47974	32587_at
P47974	32588_s_at
Q13111	32589_at
Q8NB06	32590_at
Q9BQ02	32590_at
CAD61875	32591_at
Q9BVQ3	32591_at
Q9NRG7	32591_at
CAD61924	32592_at
O15037	32592_at
Q8IUQ2	32592_at
Q96BA9	32592_at
Q14699	32593_at
Q8N5I0	32593_at
Q9BRA3	32593_at
P50991	32594_at
Q96C51	32594_at
Q12849	32595_at
Q8IWD6	32595_at
Q8NBD2	32595_at
---	32596_at
Q08999	32597_at
Q8NE70	32597_at
AAH20544	32598_at
Q96JS2	32598_at
Q99435	32598_at
Q92574	32599_at
---	325_s_at
Q8TEW6	32600_at
Q9BTP2	32600_at
Q9NVV3	32600_at
AAH28157	32601_s_at
P19387	32601_s_at
P52306	32602_at
Q9BUW9	32602_at
Q9BUX6	32602_at
P15927	32603_at
BAA25508	32604_s_at
Q9BQ18	32604_s_at
BAA25508	32605_r_at
Q9BQ18	32605_r_at
P80723	32606_at
Q9BWA5	32606_at
P80723	32607_at
Q9BWA5	32607_at
O00455	32608_at
---	32609_at
P50479	32610_at
P30086	32611_at
P06396	32612_at
O94840	32613_at
O94840	32614_at
P14868	32615_at
P07948	32616_at
Q96JN1	32617_at
Q96ST0	32617_at
Q9BT96	32617_at
Q9NVI1	32617_at
P53004	32618_at
Q9UGM5	32619_at
Q9UGM5	32620_at
Q01658	32621_at
P50570	32622_at
Q8N1K8	32622_at
AAG23962	32623_at
AAH42598	32623_at
Q8IW08	32623_at
Q9UBS5	32623_at
AAH42013	32624_at
AAH42045	32624_at
Q8ND69	32624_at
Q9Y408	32624_at
P16066	32625_at
AAH45641	32626_at
Q06210	32626_at
Q9BXF8	32626_at
O60518	32627_at
Q96E78	32627_at
Q14119	32628_at
O00481	32629_f_at
Q99420	32629_f_at
O00481	32630_f_at
Q99420	32630_f_at
---	32631_at
---	32632_g_at
AAB19034	32633_at
AAC50936	32633_at
Q05084	32633_at
Q96HG3	32633_at
Q9BRW3	32633_at
AAB19034	32634_s_at
AAC50936	32634_s_at
Q05084	32634_s_at
Q96HG3	32634_s_at
Q9BRW3	32634_s_at
Q9HAL0	32635_at
Q9UPN9	32635_at
O43305	32636_f_at
Q13284	32636_f_at
Q8MH62	32636_f_at
Q8N1K7	32636_f_at
Q8NEB0	32636_f_at
Q8NFX2	32636_f_at
Q96Q15	32636_f_at
Q96QV0	32636_f_at
Q96RW3	32636_f_at
O43305	32637_r_at
Q13284	32637_r_at
Q8MH62	32637_r_at
Q8N1K7	32637_r_at
Q8NEB0	32637_r_at
Q8NFX2	32637_r_at
Q96Q15	32637_r_at
Q96QV0	32637_r_at
Q96RW3	32637_r_at
O43305	32638_s_at
Q13284	32638_s_at
Q8MH62	32638_s_at
Q8N1K7	32638_s_at
Q8NEB0	32638_s_at
Q8NFX2	32638_s_at
Q96Q15	32638_s_at
Q96QV0	32638_s_at
Q96RW3	32638_s_at
O15504	32639_at
Q9BS49	32639_at
P05362	32640_at
Q15463	32640_at
Q96B50	32640_at
Q99930	32640_at
Q9NTI5	32641_at
Q9Y2I5	32641_at
Q9Y451	32641_at
O14594	32642_at
Q04446	32643_at
Q96EN0	32643_at
Q14675	32644_at
Q8IWF1	32644_at
Q9BS12	32644_at
CAD89923	32645_at
O75042	32645_at
O75065	32645_at
Q8N3W0	32645_at
Q8TBR0	32645_at
Q9HCP4	32645_at
Q9HCP5	32645_at
O75037	32646_at
Q9NTB9	32646_at
Q96J28	32647_at
Q9UEU0	32647_at
P80370	32648_at
Q969Y6	32648_at
Q96DW5	32648_at
P36402	32649_at
Q96A74	32650_at
Q9UI15	32650_at
Q96A74	32651_at
Q9UI15	32651_at
Q96A74	32652_g_at
Q9UI15	32652_g_at
O43178	32653_at
Q15355	32653_at
Q969M9	32653_at
Q9H0E9	32653_at
O43178	32654_g_at
Q15355	32654_g_at
Q969M9	32654_g_at
Q9H0E9	32654_g_at
O43178	32655_s_at
Q15355	32655_s_at
Q969M9	32655_s_at
Q9H0E9	32655_s_at
O43798	32656_at
O75970	32656_at
Q8N790	32656_at
Q15051	32657_at
Q8NI79	32657_at
Q9BS08	32657_at
O60838	32658_at
Q8IUN6	32658_at
Q8N1B4	32658_at
Q9NPT5	32658_at
Q9HBP7	32659_at
Q9UI10	32659_at
Q9Y3W7	32659_at
O15050	32660_at
Q8N8K0	32660_at
Q14676	32661_s_at
Q14676	32662_at
O43514	32663_at
O43515	32663_at
Q02094	32663_at
Q96E98	32663_at
Q9UHG9	32663_at
Q9UHH0	32663_at
Q9UHH2	32663_at
Q9UK70	32663_at
CAD62319	32664_at
CAD62338	32664_at
P34096	32664_at
O75688	32665_at
Q96ER6	32665_at
AAH39893	32666_at
P48061	32666_at
P29400	32667_at
P81877	32668_at
Q9P038	32668_at
O75159	32669_at
Q8IYZ4	32669_at
P49746	32670_at
Q14679	32671_at
Q8WW29	32671_at
---	32672_at
O00475	32673_at
Q96AV7	32673_at
Q14966	32674_at
Q8NF92	32674_at
Q8TCA1	32674_at
Q10588	32675_at
Q96EN3	32675_at
AAH32371	32676_at
O43573	32676_at
Q02252	32676_at
O14598	32677_at
O95317	32678_at
O95318	32678_at
Q9UES3	32678_at
Q9UES4	32678_at
Q9UES5	32678_at
Q9Y4I1	32678_at
AAH43498	32679_at
Q15390	32679_at
Q8IVD7	32679_at
Q9UKE5	32680_at
Q9Y6Z1	32680_at
P19634	32681_at
Q96EM2	32681_at
AAC25390	32682_at
P42166	32682_at
P42167	32682_at
Q16295	32682_at
Q9P1N8	32682_at
AAC25390	32683_at
P42166	32683_at
P42167	32683_at
Q16295	32683_at
Q9P1N8	32683_at
Q8N1P3	32684_at
Q8ND43	32684_at
O15059	32685_at
Q8N4S6	32685_at
Q8N5H4	32685_at
Q8WUV7	32685_at
Q9NZ16	32685_at
AAH24229	32686_at
O00325	32686_at
O00326	32686_at
P43115	32686_at
Q9UBW3	32686_at
AAH24229	32687_s_at
O00325	32687_s_at
O00326	32687_s_at
P43115	32687_s_at
Q9UBW3	32687_s_at
AAH24229	32688_at
O00325	32688_at
O00326	32688_at
P43115	32688_at
Q9UBW3	32688_at
---	32689_s_at
---	32690_s_at
---	32691_s_at
---	32692_at
CAD89933	32693_at
Q8IUP6	32693_at
Q8N3I5	32693_at
Q8NAI0	32693_at
Q8NHE2	32693_at
Q9UPW1	32693_at
P10826	32694_at
O43719	32695_at
Q99730	32695_at
P40426	32696_at
Q96AL5	32696_at
P29218	32697_at
P15151	32698_at
Q96BJ1	32698_at
P15151	32699_s_at
Q96BJ1	32699_s_at
---	326_i_at
CAD89925	32700_at
P32456	32700_at
Q8TCE5	32700_at
O00192	32701_at
Q8NAH4	32701_at
Q12815	32702_at
Q8N5B2	32702_at
O00444	32703_at
Q15455	32703_at
Q8IYF0	32703_at
Q96Q95	32703_at
Q92608	32704_at
Q96AK7	32704_at
P24462	32705_at
Q9H241	32705_at
P54198	32706_at
Q8IXN2	32706_at
O75449	32707_at
O75449	32708_g_at
AAH43166	32709_at
Q13031	32709_at
Q14722	32709_at
---	32710_at
---	32711_g_at
Q9UL68	32712_at
Q9UPP6	32712_at
Q8IYZ9	32713_at
Q92805	32713_at
AAH42637	32714_s_at
P37023	32714_s_at
O60625	32715_at
Q9BV40	32715_at
O75484	32716_at
O95217	32716_at
P23743	32716_at
Q8IZ56	32716_at
Q8N5Q2	32716_at
O76050	32717_at
Q8TAN0	32717_at
AAH13188	32718_at
O60507	32718_at
Q02297	32719_at
Q15491	32719_at
Q96IB3	32719_at
AAH11033	32720_at
O94817	32720_at
AAH11033	32721_at
O94817	32721_at
P78540	32722_at
AAH01011	32723_at
AAH07425	32723_at
Q05048	32723_at
O14832	32724_at
AAH33634	32725_at
P55957	32725_at
Q8IY86	32725_at
AAH33634	32726_g_at
P55957	32726_g_at
Q8IY86	32726_g_at
---	32727_at
P49418	32728_at
Q8N4G0	32728_at
Q8NFL3	32728_at
Q8NFL4	32728_at
Q8NFL5	32728_at
Q8NFL6	32728_at
Q8NFL7	32728_at
Q8NFL8	32728_at
P11055	32729_at
AAH45630	32730_at
Q9C0B3	32730_at
BAC22578	32731_at
BAC56948	32731_at
O95704	32731_at
Q96DX9	32731_at
Q96Q18	32731_at
Q9BYD4	32731_at
O60783	32732_at
O60783	32733_at
Q16537	32734_at
Q9Y2E3	32735_at
P15153	32736_at
P15153	32737_at
O75306	32738_at
O95394	32739_at
Q9Y2F0	32740_at
O95369	32741_at
Q15276	32741_at
Q8IVX3	32741_at
O95369	32742_s_at
Q15276	32742_s_at
Q8IVX3	32742_s_at
Q9UIM0	32743_at
P35265	32744_at
Q13666	32744_at
Q8WVC2	32744_at
Q9NQ50	32745_at
O15519	32746_at
P05091	32747_at
Q99891	32747_at
P42677	32748_at
AAH41179	32749_s_at
P21333	32749_s_at
Q8NF52	32749_s_at
Q8TES4	32749_s_at
Q96C61	32749_s_at
AAH41179	32750_r_at
P21333	32750_r_at
Q8NF52	32750_r_at
Q8TES4	32750_r_at
Q96C61	32750_r_at
Q12906	32751_at
Q9NXX0	32751_at
O95182	32752_at
Q15393	32753_at
Q96GC0	32753_at
Q9BPY2	32753_at
Q9UFX7	32753_at
AAA36775	32754_at
AAH15403	32754_at
P06753	32754_at
Q8NAG3	32754_at
Q8NAH0	32754_at
Q8NI98	32754_at
Q8TCG3	32754_at
AAH17554	32755_at
P03996	32755_at
Q13011	32756_at
Q8WVX0	32756_at
Q96EZ9	32756_at
P78406	32757_at
P78406	32758_g_at
---	32759_at
P04279	32760_at
O15038	32761_at
O94803	32761_at
Q8IW17	32761_at
Q96GY7	32761_at
Q9P0G1	32761_at
Q9UHA8	32761_at
Q9UQ35	32761_at
Q9UQ36	32761_at
Q9UQ37	32761_at
Q9UQ38	32761_at
Q9UQ39	32761_at
Q9UQ40	32761_at
O75872	32762_i_at
Q9H2M9	32762_i_at
Q9HAB0	32762_i_at
Q9UFJ7	32762_i_at
O75872	32763_r_at
Q9H2M9	32763_r_at
Q9HAB0	32763_r_at
Q9UFJ7	32763_r_at
Q8NBZ1	32764_at
Q9UNM8	32764_at
Q9Y5X6	32764_at
Q9Y646	32764_at
Q8NBZ1	32765_f_at
Q9UNM8	32765_f_at
Q9Y5X6	32765_f_at
Q9Y646	32765_f_at
AAH08343	32766_at
AAH10034	32766_at
AAH12154	32766_at
AAH18259	32766_at
P12956	32766_at
Q15468	32767_at
Q9H7E2	32768_at
Q8N1T2	32769_at
Q8NAV6	32769_at
Q96BS7	32769_at
Q96D33	32769_at
Q96N85	32769_at
Q9Y2J7	32769_at
O94855	32770_at
Q8IYI7	32770_at
P02774	32771_at
AAH45773	32772_s_at
P15291	32772_s_at
O19522	32773_at
O19704	32773_at
O19705	32773_at
O19706	32773_at
O19760	32773_at
P01907	32773_at
P01908	32773_at
P01909	32773_at
P04225	32773_at
P04226	32773_at
P05536	32773_at
Q29782	32773_at
Q29876	32773_at
Q29882	32773_at
Q29885	32773_at
Q29994	32773_at
Q29995	32773_at
Q30062	32773_at
Q30064	32773_at
Q30065	32773_at
Q30066	32773_at
Q30067	32773_at
Q30068	32773_at
Q30069	32773_at
Q30070	32773_at
Q30071	32773_at
Q30072	32773_at
Q30073	32773_at
Q30085	32773_at
Q30086	32773_at
Q30101	32773_at
Q30125	32773_at
Q8MH00	32773_at
Q8MH01	32773_at
Q8MH02	32773_at
Q8MH03	32773_at
Q8MH04	32773_at
Q8MH05	32773_at
Q8MH06	32773_at
Q8MH07	32773_at
Q8MH08	32773_at
Q8MH09	32773_at
Q8MH10	32773_at
Q8MH11	32773_at
Q8MH12	32773_at
Q8MH13	32773_at
Q8MH14	32773_at
Q8MH15	32773_at
Q8MH16	32773_at
Q8MH17	32773_at
Q8MH18	32773_at
Q8MH19	32773_at
Q8MH20	32773_at
Q8MH21	32773_at
Q8MH22	32773_at
Q8MH23	32773_at
Q8MH24	32773_at
Q8MH25	32773_at
Q8MH26	32773_at
Q8MH27	32773_at
Q8MH28	32773_at
Q8MH29	32773_at
Q8MH30	32773_at
Q8MH31	32773_at
Q8MH32	32773_at
Q8MH33	32773_at
Q8MH34	32773_at
Q8MH35	32773_at
Q8MH36	32773_at
Q8MH37	32773_at
Q8MH38	32773_at
Q8MH39	32773_at
Q8MH40	32773_at
Q8MH41	32773_at
Q8MH42	32773_at
Q8MH43	32773_at
Q8MH44	32773_at
Q8MH45	32773_at
O95169	32774_at
Q9UG53	32774_at
AAH32718	32775_r_at
O15162	32775_r_at
Q8WVK1	32775_r_at
AAM12625	32776_at
P11234	32776_at
O00258	32777_at
Q14643	32778_at
Q14643	32779_s_at
O94833	32780_at
Q03001	32780_at
Q8WXK8	32780_at
Q9BSP9	32780_at
Q9UN10	32780_at
O94833	32781_f_at
Q03001	32781_f_at
Q8WXK8	32781_f_at
Q9BSP9	32781_f_at
Q9UN10	32781_f_at
O94833	32782_r_at
Q03001	32782_r_at
Q8WXK8	32782_r_at
Q9BSP9	32782_r_at
Q9UN10	32782_r_at
P98095	32783_at
Q8IUI0	32783_at
Q9Y3V7	32783_at
Q13523	32784_at
Q8IVC3	32784_at
Q14152	32785_at
P17275	32786_at
O75812	32787_at
O75813	32787_at
P21860	32787_at
Q9BUD7	32787_at
P49792	32788_at
Q13073	32788_at
Q13074	32788_at
P52298	32789_at
P52298	32790_at
AAH45655	32791_at
Q07823	32791_at
O95926	32792_at
P04435	32793_at
Q8N2T6	32793_at
Q8N3Z8	32793_at
Q8NA04	32793_at
P04435	32794_g_at
Q8N2T6	32794_g_at
Q8N3Z8	32794_g_at
Q8NA04	32794_g_at
---	32795_at
P07477	32796_f_at
---	32797_at
P21266	32798_at
Q96HA3	32798_at
O14828	32799_at
---	327_f_at
O75797	32800_at
O75798	32800_at
P19793	32800_at
Q969J7	32800_at
O15033	32801_at
Q8IYY9	32801_at
O60337	32802_at
CAD62612	32803_at
O95406	32803_at
P52756	32804_at
Q9HDA6	32804_at
Q04828	32805_at
O76068	32806_at
P30536	32806_at
Q13849	32806_at
Q8IY47	32807_at
Q9P097	32807_at
Q9P239	32807_at
Q9UFM7	32807_at
Q9Y382	32807_at
P05556	32808_at
Q8WUM6	32808_at
Q9NRE3	32809_at
P51580	32810_at
Q9BS45	32810_at
AAH44891	32811_at
O00159	32811_at
Q8N3S9	32812_at
Q8N6M2	32812_at
Q9UPQ0	32812_at
O60620	32813_s_at
Q9BVA0	32813_s_at
P09914	32814_at
---	32815_at
O43765	32816_at
Q9BTZ9	32816_at
O76054	32817_at
P24821	32818_at
O60814	32819_at
O95339	32820_at
O95627	32820_at
O95628	32820_at
Q8IYM7	32820_at
Q8NCL0	32820_at
Q9NPQ1	32820_at
Q9NZN6	32820_at
P80188	32821_at
P12235	32822_at
Q9H270	32823_at
O14773	32824_at
Q8WUW5	32825_at
Q99873	32825_at
P49961	32826_at
AAM12638	32827_at
P17082	32827_at
O14874	32828_at
Q96G95	32828_at
Q99595	32829_at
Q9BWF5	32829_at
Q99595	32830_g_at
Q9BWF5	32830_g_at
Q99595	32831_at
Q9BWF5	32831_at
O95285	32832_at
Q9BQ11	32832_at
Q9H9V6	32832_at
Q9H9Z4	32832_at
Q9NW84	32832_at
P49759	32833_at
Q8N5V8	32833_at
O14730	32834_r_at
Q8IXN9	32834_r_at
O14730	32835_at
Q8IXN9	32835_at
AAC19153	32836_at
Q96J09	32836_at
Q99943	32836_at
O15120	32837_at
Q8WUW2	32837_at
Q96IS9	32837_at
P35580	32838_at
Q12989	32838_at
Q16087	32838_at
Q9BWG0	32838_at
Q9UE82	32838_at
Q8IZ21	32839_at
Q8N384	32839_at
Q9H395	32839_at
Q9H6X0	32839_at
Q9H8W6	32839_at
---	32840_at
AAH00288	32841_at
AAH14911	32841_at
P20694	32841_at
Q96NV3	32841_at
Q13843	32842_at
AAM50092	32843_s_at
P13862	32843_s_at
P22087	32843_s_at
Q8WUT5	32843_s_at
Q96BS4	32843_s_at
O43177	32844_at
O95065	32844_at
O95066	32844_at
Q04637	32844_at
Q8N102	32844_at
Q8NG21	32844_at
Q96I65	32844_at
P98160	32845_at
Q8TEU3	32845_at
Q13999	32846_s_at
Q14707	32846_s_at
CAA70723	32847_at
Q15746	32847_at
Q9C0L5	32847_at
Q9UBY6	32847_at
P43686	32848_at
Q14683	32849_at
P49790	32850_at
O95319	32851_at
Q8N499	32851_at
Q92950	32851_at
Q96NW9	32851_at
Q9UL67	32851_at
AAN05576	32852_at
Q99757	32852_at
O94826	32853_at
AAH26213	32854_at
Q9UKB1	32854_at
AAM56036	32855_at
P01130	32855_at
Q16479	32855_at
O94909	32856_at
Q96DF2	32856_at
Q07890	32857_at
Q13079	32858_at
Q9NPG3	32858_at
AAH02704	32859_at
AAH02704	32860_g_at
P10747	32861_s_at
Q14644	32862_at
Q8IUY2	32862_at
Q96NX5	32863_at
Q9Y3J7	32863_at
Q05066	32864_at
---	32865_at
O60345	32866_at
P24386	32867_at
Q08188	32868_at
P49959	32869_at
Q9BS79	32869_at
P49959	32870_g_at
Q9BS79	32870_g_at
---	32871_at
---	32872_at
Q9UBY7	32873_at
Q9UNH9	32873_at
P15923	32874_at
---	32875_at
---	32876_s_at
---	32877_i_at
---	32878_f_at
---	32879_at
O95969	32880_at
---	32881_at
O75908	32882_at
O14889	32883_at
Q9BVY9	32883_at
Q9HCG1	32883_at
Q9BWV4	32884_at
Q9BXA3	32884_at
Q9BZW3	32884_at
Q9NZ22	32884_at
P02812	32885_f_at
P47871	32886_at
Q96F50	32887_at
Q96FU9	32887_at
Q9UPN4	32887_at
P29376	32888_at
Q8IWW5	32889_at
Q8NB55	32889_at
Q8TBG7	32889_at
Q96NL0	32889_at
P43146	32890_at
Q02156	32891_at
Q15349	32892_at
Q96J38	32892_at
P36268	32893_s_at
O95081	32894_at
Q96AB9	32894_at
Q96GL4	32894_at
O95081	32895_f_at
Q96AB9	32895_f_at
Q96GL4	32895_f_at
---	32896_at
P42898	32897_at
Q8IU67	32897_at
Q8IU73	32897_at
Q13104	32898_at
Q96M75	32898_at
P35398	32899_s_at
Q96H83	32899_s_at
---	328_at
---	32900_at
O00458	32901_s_at
Q9BVE4	32901_s_at
P47872	32902_at
Q8IV17	32902_at
P36897	32903_at
P14222	32904_at
P15157	32905_s_at
Q15661	32905_s_at
O14496	32906_at
O43641	32906_at
P46059	32906_at
P50406	32907_at
Q13079	32908_at
Q9NPG3	32908_at
P55064	32909_at
Q9C0E5	32910_at
Q9C0E5	32911_s_at
P49335	32912_at
Q8N1I8	32913_i_at
Q8WUQ7	32913_i_at
Q9BTA6	32913_i_at
Q9Y5A4	32913_i_at
Q8N1I8	32914_f_at
Q8WUQ7	32914_f_at
Q9BTA6	32914_f_at
Q9Y5A4	32914_f_at
---	32915_at
P23469	32916_at
Q13345	32916_at
Q8TE48	32916_at
Q96KQ6	32916_at
Q96P81	32916_at
P09848	32917_at
---	32918_at
Q96CN8	32919_at
Q9Y3Q4	32920_at
Q15487	32921_at
Q8TE94	32922_at
Q99772	32922_at
Q9Y4R4	32922_at
---	32923_r_at
Q9Y5R2	32924_at
O95460	32925_at
Q8N2M5	32925_at
Q8N2M7	32925_at
---	32926_at
Q96F15	32927_at
Q9NUK9	32927_at
Q9UKI9	32928_at
AAO34712	32929_at
Q8IUV4	32929_at
Q96GF8	32929_at
Q9Y2F8	32930_f_at
---	32931_at
Q8N470	32932_at
Q9Y406	32932_at
---	32933_r_at
---	32934_i_at
CAD61938	32935_at
CAD62301	32935_at
Q8IV10	32935_at
Q8WV16	32935_at
AAH15023	32936_at
P51814	32936_at
Q9Y2G0	32937_at
Q9Y2G0	32938_at
Q9Y2G0	32939_g_at
Q9Y4X0	32940_at
Q02556	32941_at
O15466	32942_at
P09172	32943_at
Q96AG2	32943_at
Q9BUS7	32944_at
Q9Y6N7	32944_at
P11226	32945_i_at
P11226	32946_r_at
Q15858	32947_at
Q8WTU1	32947_at
Q8WWN4	32947_at
O75445	32948_at
P56555	32949_at
P78424	32950_at
P78424	32951_g_at
---	32952_at
AAH27901	32953_at
P06127	32953_at
Q8TE94	32954_at
Q99772	32954_at
Q9Y4R4	32954_at
O43715	32955_at
Q8N0W5	32956_at
Q8NFF4	32956_at
Q96FR4	32956_at
Q8N0W5	32957_g_at
Q8NFF4	32957_g_at
Q96FR4	32957_g_at
---	32958_at
P15313	32959_at
Q99835	32960_at
Q9Y2Y5	32960_at
CAD89960	32961_at
Q14655	32961_at
Q8IVX2	32961_at
Q8NB93	32961_at
P32929	32962_at
Q9NPG0	32963_s_at
Q9NQL2	32963_s_at
Q14246	32964_at
AAH02453	32965_f_at
AAH09322	32965_f_at
AAH18740	32965_f_at
Q13790	32966_at
O60667	32967_at
Q9BYH1	32968_s_at
---	32969_r_at
O75804	32970_f_at
Q8WV33	32970_f_at
Q9NYJ2	32970_f_at
Q15884	32971_at
Q8WU02	32971_at
Q96N10	32971_at
Q8TCT3	32972_at
Q9Y5S8	32972_at
Q8TCT3	32973_s_at
Q9Y5S8	32973_s_at
Q13868	32974_at
Q13868	32975_g_at
---	32976_s_at
Q13529	32977_at
Q9BQ28	32977_at
Q9Y4F9	32977_at
Q13529	32978_g_at
Q9BQ28	32978_g_at
Q9Y4F9	32978_g_at
Q13480	32979_at
Q9HA84	32979_at
---	32980_f_at
O00617	32981_at
P48764	32981_at
O15150	32982_at
Q16301	32982_at
P35368	32983_at
P51801	32984_s_at
Q9NSC2	32985_at
O15198	32986_s_at
Q92674	32987_at
Q96ED0	32987_at
P51800	32988_at
P22670	32989_at
P48066	32990_at
Q99218	32991_f_at
---	32992_at
O75800	32993_s_at
Q8TBT2	32994_at
Q9Y574	32994_at
---	32995_at
Q8TBT2	32996_g_at
Q9Y574	32996_g_at
O75459	32997_at
P32238	32998_at
Q12934	32999_at
Q8IVZ6	32999_at
---	329_s_at
O43656	33000_at
Q96D42	33000_at
O43548	33001_s_at
O43639	33002_at
O43639	33003_at
O43639	33004_g_at
O60448	33005_at
O60575	33006_at
O43745	33007_at
O43789	33008_at
Q13233	33009_at
Q9NY91	33010_at
