Swiss-Prot	Affymetrix
Q92696	111_at
P21266	1120_at
Q96HA3	1120_at
P21266	1121_g_at
Q96HA3	1121_g_at
---	1122_f_at
Q02643	1123_at
Q16406	1123_at
Q9HB42	1123_at
Q9HB43	1123_at
Q9HB44	1123_at
Q9HB45	1123_at
O60861	1124_at
Q03164	1124_at
Q8NFI1	1124_at
Q8NI10	1124_at
Q8NI11	1124_at
Q8TD97	1124_at
Q9HB80	1124_at
Q9HB81	1124_at
Q9HB82	1124_at
Q9HB87	1124_at
Q9HBJ3	1124_at
Q9HBJ4	1124_at
---	1125_s_at
---	1126_s_at
Q15418	1127_at
P32246	1128_s_at
---	1129_at
P21675	112_g_at
Q02750	1130_at
P36507	1131_at
AAH19098	1132_s_at
P13631	1132_s_at
P22932	1132_s_at
---	1133_at
Q07912	1134_at
Q8N6U7	1134_at
Q96H59	1134_at
P34947	1135_at
P23919	1136_at
Q08357	1137_at
Q08344	1138_at
Q8WUM9	1138_at
Q14344	1139_at
Q8TD70	1139_at
AAH00558	113_i_at
P10636	113_i_at
Q96N45	113_i_at
P38570	1140_at
---	1141_at
---	1142_at
---	1143_s_at
---	1144_at
---	1145_g_at
---	1146_at
---	1147_at
---	1148_s_at
---	1149_at
AAH00558	114_r_at
P10636	114_r_at
Q96N45	114_r_at
---	1150_at
---	1151_at
AAH41054	1152_i_at
P01233	1152_i_at
AAH41054	1153_f_at
P01233	1153_f_at
CAD61953	1154_at
P05198	1154_at
---	1155_at
AAH43224	1156_at
P08047	1156_at
Q9NR51	1156_at
Q9NY21	1156_at
P17181	1157_s_at
Q8WTZ2	1157_s_at
AAH05137	1158_s_at
P02593	1158_s_at
Q9BRL5	1158_s_at
P13232	1159_at
P07996	115_at
P08574	1160_at
Q8TBT6	1160_at
---	1161_at
---	1162_g_at
---	1163_at
---	1164_at
Q14116	1165_at
Q96KJ8	1165_at
Q13200	1166_at
Q9NSM5	1166_at
P51511	1167_s_at
Q9BR96	1167_s_at
O15202	1168_at
Q96T98	1168_at
O15203	1169_at
Q9UN63	1169_at
Q9Y5F8	1169_at
P13861	116_at
Q9BUB1	116_at
---	1170_at
---	1171_s_at
---	1172_at
---	1173_g_at
---	1174_at
---	1175_s_at
---	1176_at
---	1177_at
---	1178_at
---	1179_at
P17066	117_at
Q8IYK7	117_at
Q9BT95	117_at
---	1180_g_at
---	1181_at
Q15111	1182_at
Q92583	1183_at
CAD61943	1184_at
Q9UL46	1184_at
---	1185_at
P55107	1186_at
Q8N6T2	1186_at
P49916	1187_at
Q96DF0	1187_at
P49916	1188_g_at
Q96DF0	1188_g_at
P49336	1189_at
P23677	118_at
Q8TAN3	118_at
Q16827	1190_at
Q8IYG3	1190_at
Q9UBF0	1190_at
Q9UBT5	1190_at
O00231	1191_s_at
O00232	1192_at
Q05086	1193_at
Q96GR7	1193_at
Q9BUI6	1193_at
Q9H2G0	1193_at
Q05086	1194_g_at
Q96GR7	1194_g_at
Q9BUI6	1194_g_at
Q9H2G0	1194_g_at
O14713	1195_s_at
AAH36903	1196_at
P18754	1196_at
AAH12617	1197_at
P12718	1197_at
P24530	1198_at
P04765	1199_at
Q9BRK6	1199_at
P10070	1200_at
AAM21107	1201_at
Q14088	1201_at
AAM21107	1202_g_at
Q14088	1202_g_at
---	1203_at
P49619	1204_at
Q15320	1205_at
Q00535	1206_at
Q00534	1207_at
Q13882	1208_at
Q8NEH5	1209_at
Q9Y4K3	1209_at
---	120_at
Q93038	1210_s_at
P78560	1211_s_at
Q8IY43	1211_s_at
O43708	1212_at
P78362	1213_at
Q8IYQ3	1213_at
P01574	1214_s_at
Q15943	1214_s_at
P05771	1217_g_at
P10588	1218_at
P14316	1219_at
Q06710	121_at
Q96J49	121_at
P14316	1220_g_at
AAM21085	1221_at
P35239	1221_at
Q8IXL2	1221_at
Q9H2I5	1221_at
Q00537	1222_at
Q8NEB8	1222_at
Q07002	1223_at
Q8IWB3	1223_at
Q96GU7	1223_at
Q9BWF9	1223_at
Q00536	1224_at
Q96GA5	1224_at
Q9BRL4	1224_at
Q00536	1225_g_at
Q96GA5	1225_g_at
Q9BRL4	1225_g_at
P78536	1226_at
P78536	1227_g_at
O15320	1228_s_at
Q8IX92	1228_s_at
Q8IX93	1228_s_at
Q96N90	1228_s_at
Q99752	1229_at
Q99753	1229_at
P49643	122_at
Q8WVL2	122_at
Q99752	1230_g_at
Q99753	1230_g_at
P23567	1231_at
P08833	1232_s_at
Q8IYP5	1232_s_at
P30530	1233_s_at
Q8N5L2	1233_s_at
P29320	1234_at
AAD14300	1235_at
P29312	1235_at
P21359	1236_s_at
Q14931	1236_s_at
AAC33793	1237_at
O75353	1237_at
P46695	1237_at
P45984	1238_at
Q8N5C5	1238_at
P42575	1239_s_at
Q9BUP7	1239_s_at
Q9BZK9	1239_s_at
Q9BZL0	1239_s_at
Q15139	123_at
P42575	1240_at
Q9BUP7	1240_at
Q9BZK9	1240_at
Q9BZL0	1240_at
Q12974	1241_at
Q15197	1241_at
AAH22231	1242_at
P50548	1242_at
Q92466	1243_at
P52630	1244_at
Q13177	1245_i_at
Q13332	1246_at
Q16343	1246_at
Q8NHS7	1246_at
Q9UM81	1246_at
Q13332	1247_g_at
Q16343	1247_g_at
Q8NHS7	1247_g_at
Q9UM81	1247_g_at
P52434	1248_at
Q13480	1249_at
Q9HA84	1249_at
AAB39925	1250_at
AAC50210	1250_at
P78527	1250_at
P47736	1251_g_at
Q9UQ51	1251_g_at
Q00765	1252_at
AAM88578	1253_at
P49841	1253_at
AAH31663	1254_at
P43080	1254_at
---	1255_g_at
P23468	1256_at
O00391	1257_s_at
Q8TDL6	1257_s_at
Q8WVP4	1257_s_at
Q92889	1258_s_at
---	1259_at
P09210	1260_s_at
P09210	1261_i_at
P08112	1262_s_at
P08700	1263_at
P17706	1264_at
Q96AU5	1264_at
P17706	1265_g_at
Q96AU5	1265_g_at
---	1266_s_at
P24723	1267_at
Q8NE03	1267_at
Q9BVQ0	1267_at
P22314	1268_at
P27986	1269_at
Q15747	1269_at
Q8IXA2	1269_at
Q8N1C5	1269_at
---	126_s_at
P47736	1270_at
Q9UQ51	1270_at
Q04206	1271_g_at
Q13313	1271_g_at
Q96CP1	1271_g_at
Q96F54	1271_g_at
P41091	1272_at
P49427	1273_r_at
Q9BUR6	1273_r_at
P49427	1274_s_at
Q9BUR6	1274_s_at
---	1275_at
Q93062	1276_g_at
Q96J26	1276_g_at
Q99434	1277_at
---	1278_at
---	1279_s_at
---	1280_i_at
---	1281_f_at
---	1282_s_at
---	1283_at
---	1284_at
---	1285_at
---	1286_s_at
P09874	1287_at
Q8IUZ9	1287_at
Q96P95	1287_at
AAH28674	1288_s_at
AAH38339	1288_s_at
AAO15302	1288_s_at
P04720	1288_s_at
Q8IUB0	1288_s_at
Q8TBL1	1288_s_at
Q96C29	1288_s_at
Q96CD8	1288_s_at
Q96EB3	1288_s_at
Q9NZS6	1288_s_at
P46439	1289_at
AAH16058	128_at
P43235	128_at
P46439	1290_g_at
AAF27432	1291_s_at
P22455	1291_s_at
Q96KE5	1291_s_at
Q05923	1292_at
Q8WXV0	1292_at
P80108	1293_s_at
Q15127	1293_s_at
Q8TCV0	1293_s_at
Q8WW82	1293_s_at
Q96ID6	1293_s_at
Q9H4M1	1293_s_at
P41226	1294_at
Q9BRB2	1294_at
Q04206	1295_at
Q13313	1295_at
Q96CP1	1295_at
Q96F54	1295_at
P55291	1296_at
Q93062	1297_at
Q96J26	1297_at
---	1298_at
Q15554	1299_at
AAH16058	129_g_at
P43235	129_g_at
AAH42137	1300_at
O43543	1300_at
P78314	1303_at
---	1304_at
O60634	1305_s_at
Q08477	1305_s_at
O43177	1306_at
O95065	1306_at
O95066	1306_at
Q04637	1306_at
Q8N102	1306_at
Q8NG21	1306_at
Q96I65	1306_at
P23025	1307_at
P23025	1308_g_at
P49720	1309_at
CAD61942	130_s_at
O14956	130_s_at
P43699	130_s_at
Q9BRJ8	130_s_at
P49721	1310_at
P28070	1311_at
P48556	1312_at
Q99436	1313_at
Q9UM79	1313_at
Q8IV79	1314_at
Q99460	1314_at
P54368	1315_at
P10827	1316_at
Q04912	1317_at
Q09028	1318_at
Q96BV9	1318_at
Q16832	1319_at
AAH21972	131_at
Q15544	131_at
Q9UHS0	131_at
Q16825	1320_at
P54849	1321_s_at
Q01094	1322_at
Q9BSD8	1322_at
AAH46123	1323_at
Q9BWD6	1323_at
Q96C41	1324_at
Q99638	1324_at
Q15797	1325_at
Q8IUP5	1326_at
Q92851	1326_at
Q99683	1327_s_at
O00463	1328_at
AAB54036	1329_s_at
P54274	1329_s_at
Q8NHT6	1329_s_at
Q8N3I9	1330_at
Q96FS8	1330_at
Q96HN9	1330_at
Q99759	1330_at
Q93038	1331_s_at
P01241	1332_f_at
P11274	1333_f_at
P78501	1333_f_at
Q13746	1333_f_at
Q16189	1333_f_at
Q16190	1333_f_at
Q8NEY0	1333_f_at
Q8NF93	1333_f_at
Q8TDA2	1333_f_at
P09919	1334_s_at
Q8N4W3	1334_s_at
P08069	1335_at
P05771	1336_s_at
P10276	1337_s_at
P11509	1338_s_at
---	1339_s_at
P53634	133_at
Q8WY99	133_at
Q8WYA7	133_at
Q8WYA8	133_at
P14210	1340_s_at
Q02935	1340_s_at
Q13494	1340_s_at
Q14519	1340_s_at
Q8TCE2	1340_s_at
P17947	1341_at
AAB54036	1342_g_at
P54274	1342_g_at
Q8NHT6	1342_g_at
P29508	1343_s_at
Q8IWL4	1343_s_at
Q8IXI3	1343_s_at
Q9BYF8	1343_s_at
P23760	1344_at
Q12777	1344_at
P23760	1345_s_at
Q12777	1345_s_at
P25713	1346_at
P30305	1347_at
P05165	1348_s_at
Q16380	1348_s_at
Q8WXQ7	1348_s_at
---	1349_at
Q13147	134_at
Q13249	134_at
Q13801	134_at
Q9BV70	134_at
Q9NYB9	134_at
P78329	1350_at
P54760	1351_at
Q96L35	1351_at
AAA64379	1352_at
P25024	1352_at
Q8N6T6	1352_at
AAA64379	1353_g_at
P25024	1353_g_at
Q8N6T6	1353_g_at
AAH31835	1354_at
AAK92490	1354_at
AAM77876	1354_at
Q16620	1354_at
Q8N5X4	1354_at
Q8WXJ5	1354_at
Q8WXJ6	1354_at
Q8WXJ7	1354_at
Q8WXJ8	1354_at
AAH31835	1355_g_at
AAK92490	1355_g_at
AAM77876	1355_g_at
Q16620	1355_g_at
Q8N5X4	1355_g_at
Q8WXJ5	1355_g_at
Q8WXJ6	1355_g_at
Q8WXJ7	1355_g_at
Q8WXJ8	1355_g_at
P51398	1356_at
Q13107	1357_at
---	1358_s_at
Q16552	1359_at
Q13147	135_g_at
Q13249	135_g_at
Q13801	135_g_at
Q9BV70	135_g_at
Q9NYB9	135_g_at
Q13426	1360_at
Q9BS72	1360_at
Q9UP94	1360_at
AAB54036	1361_at
P54274	1361_at
Q8NHT6	1361_at
P28702	1362_s_at
Q06310	1362_s_at
AAH39243	1363_at
P21802	1363_at
Q01742	1363_at
Q16888	1363_at
Q8IXC7	1363_at
O76043	1364_at
P23471	1364_at
AAH25691	1365_at
P14784	1365_at
AAA36787	1366_i_at
P02248	1366_i_at
Q96C32	1366_i_at
Q96H31	1366_i_at
Q96MH4	1366_i_at
Q9UEF2	1366_i_at
Q9UFQ0	1366_i_at
AAA36787	1367_f_at
P02248	1367_f_at
Q96C32	1367_f_at
Q96H31	1367_f_at
Q96MH4	1367_f_at
Q9UEF2	1367_f_at
Q9UFQ0	1367_f_at
P14778	1368_at
---	1369_s_at
---	136_at
P16871	1370_at
P20813	1371_s_at
Q9UK46	1371_s_at
P98066	1372_at
Q8WWI9	1372_at
P15923	1373_at
P15923	1374_g_at
P16035	1375_s_at
Q96MC4	1375_s_at
P18858	1376_at
P19838	1377_at
Q8N4X7	1377_at
P19838	1378_g_at
Q8N4X7	1378_g_at
P29317	1379_at
Q8N3Z2	1379_at
Q96HF4	1379_at
Q13351	137_at
P21781	1380_at
Q96FG5	1380_at
Q15299	1381_at
P27694	1382_at
AAH41071	1383_at
Q00007	1383_at
Q00005	1384_at
AAH04972	1385_at
Q15582	1385_at
AAH10863	1386_at
P43378	1386_at
---	1387_at
P11473	1388_g_at
P08473	1389_at
Q92918	138_at
P01286	1390_s_at
AAH41158	1391_s_at
Q02928	1391_s_at
Q06766	1391_s_at
Q16802	1391_s_at
Q8TCB1	1391_s_at
P43250	1392_at
Q13652	1392_at
Q96AD6	1392_at
---	1393_at
P06749	1394_at
Q9BVT0	1394_at
P08134	1395_at
P24593	1396_at
Q96HT5	1396_at
Q16584	1397_at
Q16584	1398_g_at
Q15369	1399_at
O14490	139_at
P04141	1400_at
P04141	1401_g_at
P07948	1402_at
P13501	1403_s_at
P13501	1404_r_at
P13501	1405_i_at
P13056	1406_at
Q15625	1406_at
Q15626	1406_at
P13056	1407_g_at
Q15625	1407_g_at
Q15626	1407_g_at
---	1408_at
P11831	1409_at
Q15815	140_s_at
Q8N1H4	140_s_at
P11473	1410_at
---	1411_at
---	1412_g_at
---	1413_at
---	1414_at
---	1415_at
---	1416_g_at
---	1417_at
P35228	1418_at
Q9UM94	1418_at
P35228	1419_g_at
Q9UM94	1419_g_at
Q92994	141_s_at
Q96KX3	141_s_at
AAH13708	1420_s_at
Q14240	1420_s_at
Q96B07	1420_s_at
Q96EA8	1420_s_at
Q9NZE6	1420_s_at
AAH25687	1421_at
Q16566	1421_at
AAH25687	1422_g_at
Q16566	1422_g_at
Q99462	1423_at
Q04917	1424_s_at
Q9H4N8	1424_s_at
O15200	1425_at
Q9Y5F2	1425_at
Q13239	1426_at
Q13239	1427_g_at
---	1428_at
O00268	142_at
P01166	1430_at
P05181	1431_at
Q16868	1431_at
P29376	1432_s_at
Q92940	1433_g_at
O00633	1434_at
P01568	1435_f_at
Q14608	1435_f_at
P10635	1436_at
Q16804	1436_at
P17252	1437_at
P54753	1438_at
P49137	1439_s_at
Q8IYD6	1439_s_at
Q15542	143_s_at
P25445	1440_s_at
P25445	1441_s_at
AAH24181	1442_at
Q92731	1442_at
P78512	1443_at
Q8N4A4	1443_at
Q99956	1443_at
---	1444_at
O00421	1445_at
O75307	1445_at
Q96KP5	1445_at
Q9UPG0	1445_at
P25787	1446_at
P20618	1447_at
AAH38990	1448_at
P25788	1448_at
P25789	1449_at
Q8TBD1	1449_at
O00142	144_at
Q8IZR3	144_at
P25789	1450_g_at
Q8TBD1	1450_g_at
Q15063	1451_s_at
Q8IZF9	1451_s_at
O00158	1452_at
Q15796	1453_at
Q92940	1454_at
P11712	1455_f_at
P11713	1455_f_at
Q16756	1455_f_at
Q16872	1455_f_at
Q8WW80	1455_f_at
Q16666	1456_s_at
Q8N9E5	1456_s_at
Q8NEQ7	1456_s_at
Q96AJ5	1456_s_at
P23458	1457_at
Q8IV82	1457_at
P26045	1458_at
Q8N4S3	1458_at
AAH10674	1459_at
P29074	1459_at
Q96TB0	145_s_at
Q99593	145_s_at
AAH10674	1460_g_at
P29074	1460_g_at
P25963	1461_at
P28340	1462_s_at
Q96H98	1462_s_at
Q05209	1463_at
---	1464_at
AAB32716	1465_s_at
P10243	1465_s_at
P21781	1466_s_at
Q96FG5	1466_s_at
Q12929	1467_at
Q8N6J0	1467_at
AAH23585	1468_at
Q12931	1468_at
Q8N9Z3	1468_at
Q9BTZ7	1468_at
Q9BV61	1468_at
P49137	1469_at
Q8IYD6	1469_at
O15096	146_at
P78405	146_at
Q9BWR6	146_at
Q9UBF8	146_at
P49005	1470_at
P10242	1471_at
Q14025	1471_at
P10242	1472_g_at
Q14025	1472_g_at
P10242	1473_s_at
Q14025	1473_s_at
---	1474_s_at
P10242	1475_s_at
Q14025	1475_s_at
P10242	1476_s_at
Q14025	1476_s_at
P33260	1477_s_at
---	1478_at
Q08881	1479_g_at
Q99816	147_at
Q9BUM5	147_at
O14992	1480_at
P34932	1480_at
Q9BUK9	1480_at
P39900	1481_at
P39900	1482_g_at
P55283	1483_at
Q8NB64	1483_at
P55286	1484_at
Q15375	1485_at
P52435	1486_at
Q8IZ67	1486_at
P11474	1487_at
Q8N4S8	1487_at
Q96F89	1487_at
Q96I02	1487_at
Q15262	1488_at
---	1489_s_at
AAH28412	148_at
---	1490_at
AAH39733	1491_at
P26022	1491_at
P20853	1492_f_at
P11509	1493_r_at
P11509	1494_f_at
P22064	1495_at
Q14766	1495_at
AAH27308	1496_at
P18433	1496_at
P36941	1497_at
P43403	1498_at
Q8IXD6	1498_at
P49354	1499_at
Q8N3Y2	1499_at
O00148	149_at
Q8N5M0	149_at
Q96FT2	149_at
Q9BVP6	149_at
P19544	1500_at
P01343	1501_at
P05019	1501_at
Q13429	1501_at
Q14620	1501_at
Q9NP10	1501_at
---	1503_at
Q8TBG5	1504_s_at
Q92912	1504_s_at
Q99517	1504_s_at
---	1505_at
AAH14972	1506_at
P31785	1506_at
O43441	1507_s_at
P25101	1507_s_at
Q16432	1507_s_at
Q16433	1507_s_at
Q13797	1508_at
Q8N6H6	1508_at
P51512	1509_at
O00309	150_at
O43863	150_at
O75085	150_at
Q96QZ7	150_at
Q96QZ8	150_at
Q96QZ9	150_at
P51512	1510_g_at
Q8TAP2	1511_at
Q92529	1511_at
BAA33976	1512_at
BAA33977	1512_at
O60770	1512_at
O94789	1512_at
Q13627	1512_at
Q15446	1512_at
---	1513_at
---	1514_g_at
---	1515_at
---	1516_g_at
P24903	1517_at
P14921	1518_at
Q96AC5	1518_at
AAH17040	1519_at
AAH42954	1519_at
P15036	1519_at
BAB93480	151_s_at
CAA23844	151_s_at
P05218	151_s_at
Q96B85	151_s_at
Q9BUU9	151_s_at
O43645	1520_s_at
P01584	1520_s_at
P15531	1521_at
Q13470	1522_at
Q13470	1523_g_at
Q92790	1524_at
Q93055	1524_at
Q93067	1524_at
Q9UQ07	1524_at
P55075	1525_s_at
P55075	1526_i_at
Q8WTU5	1527_s_at
Q9UQP6	1527_s_at
Q9Y273	1527_s_at
---	1528_at
Q8NB82	1529_at
Q9Y3N6	1529_at
AAH19846	152_f_at
Q8NB82	1530_g_at
Q9Y3N6	1530_g_at
---	1531_at
---	1532_g_at
Q92878	1533_at
Q9UP86	1533_at
Q99665	1534_at
O00409	1535_at
Q8TB30	1536_at
Q99741	1536_at
P00533	1537_at
P01585	1538_s_at
Q13169	1538_s_at
Q16334	1538_s_at
Q8NFA4	1538_s_at
Q9C001	1538_s_at
AAM12633	1539_at
P01111	1539_at
Q96CF4	153_f_at
P01569	1540_f_at
---	1541_f_at
P01133	1542_at
P52564	1543_at
P54132	1544_at
AAH39007	1545_g_at
P17948	1545_g_at
Q16333	1545_g_at
O43820	1546_at
Q12794	1546_at
Q8NFK2	1546_at
Q8NFK3	1546_at
Q8NFK4	1546_at
Q8NFK5	1546_at
Q8NFK6	1546_at
Q8NFK7	1546_at
Q8NFK8	1546_at
Q8NFK9	1546_at
Q9UKD5	1546_at
Q9UNI8	1546_at
AAA17743	1547_at
P52333	1547_at
Q8N1E8	1547_at
Q9UMU1	1547_at
---	1548_s_at
P48594	1549_s_at
Q9BYF7	1549_s_at
P21675	154_at
Q13084	1550_at
Q13084	1551_g_at
---	1552_i_at
---	1553_r_at
P11509	1554_f_at
P20853	1555_f_at
P52756	1556_at
Q9HDA6	1556_at
O75561	1557_at
Q13153	1557_at
O75561	1558_g_at
Q13153	1558_g_at
Q13177	1559_at
BAB93477	155_s_at
Q93068	155_s_at
Q13177	1560_g_at
AAH45110	1561_at
Q13202	1561_at
AAH45110	1562_g_at
Q13202	1562_g_at
P19438	1563_s_at
P31749	1564_at
Q9BV07	1564_at
Q9BWB6	1564_at
P29354	1565_s_at
O00557	1566_at
P13591	1566_at
P13592	1566_at
Q96CJ3	1566_at
AAH39007	1567_at
P17948	1567_at
Q16333	1567_at
---	1568_s_at
Q08334	1569_r_at
Q9BUU4	1569_r_at
---	156_s_at
AAH39060	1570_f_at
AAH40540	1570_f_at
P06400	1570_f_at
Q92728	1570_f_at
AAH39060	1571_f_at
AAH40540	1571_f_at
P06400	1571_f_at
Q92728	1571_f_at
P06213	1572_s_at
P01127	1573_at
Q15354	1573_at
P05112	1574_s_at
Q9UPB9	1574_s_at
P08183	1575_at
P08183	1576_g_at
P10275	1577_at
Q13771	1577_at
Q9BZG5	1577_at
Q9BZG6	1577_at
Q9BZG7	1577_at
Q9NUA2	1577_at
Q9UN21	1577_at
P10275	1578_g_at
Q13771	1578_g_at
Q9BZG5	1578_g_at
Q9BZG6	1578_g_at
Q9BZG7	1578_g_at
Q9NUA2	1578_g_at
Q9UN21	1578_g_at
P13725	1579_at
AAH14074	157_at
P78395	157_at
Q8IXN8	157_at
P05014	1580_f_at
Q02880	1581_s_at
Q8WTY5	1581_s_at
P06731	1582_at
Q13984	1582_at
Q8N4D0	1582_at
P20333	1583_at
Q8IVS6	1583_at
P30307	1584_at
Q9H2F0	1584_at
O75812	1585_at
O75813	1585_at
P21860	1585_at
Q9BUD7	1585_at
P17936	1586_at
AAH19098	1587_at
P13631	1587_at
P22932	1587_at
P48551	1588_at
Q15467	1588_at
Q9BUA0	1588_at
---	1589_s_at
AAH34721	158_at
Q9UDY4	158_at
AAM12630	1590_s_at
Q9BR65	1590_s_at
AAG17220	1591_s_at
P01344	1591_s_at
Q8N2L8	1591_s_at
P11388	1592_at
AAA52531	1593_at
O00527	1593_at
P09038	1593_at
P78443	1593_at
AAH28157	1594_at
P19387	1594_at
Q02763	1595_at
