Affymetrix	Entrez_Gene	UniProt	UniGene	Ensembl
1000_at	5595	P27361 Q8NHX0 Q8NHX1 Q7Z3H5 Q9BWJ1	Hs.861	ENSG00000102882
1001_at	7075	P35590 Q9HBS4	Hs.78824	ENSG00000066056
1002_f_at	1557	P33261 Q16743	Hs.282409	ENSG00000165841
1003_s_at	643		Hs.113916	ENSG00000160683
1004_at				ENSG00000160683
1005_at	1843	P28562	Hs.171695	ENSG00000120129
1006_at	4319	P09238	Hs.2258	ENSG00000166670
1007_s_at	780	Q08345 Q96T61 Q96T62 Q6NSK4 Q6ZNR9	Hs.423573	ENSG00000137332
1008_f_at	5610	Q8NHX0 Q8IW76 Q6PK38 Q7Z6F6	Hs.439523	ENSG00000055332
